T26,Population employed in research and development (R&D),,,,,
458,Malaysia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"4,155",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Total (number in full-time equivalent),856,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Researchers - total (number in full-time equivalent),443,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Researchers - women (number in full-time equivalent),62,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Technicians - total (number in full-time equivalent),342,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Technicians - women (number in full-time equivalent),44,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),71,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),34,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Total (number in full-time equivalent),"1,283",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Researchers - total (number in full-time equivalent),538,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Researchers - women (number in full-time equivalent),55,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Technicians - total (number in full-time equivalent),322,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Technicians - women (number in full-time equivalent),72,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),423,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
466,Mali,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),102,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Total (number in full-time equivalent),825,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Researchers - total (number in full-time equivalent),479,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Researchers - women (number in full-time equivalent),121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Technicians - total (number in full-time equivalent),222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Technicians - women (number in full-time equivalent),20,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),124,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),65,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Total (number in full-time equivalent),"1,102",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Researchers - total (number in full-time equivalent),587,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Researchers - women (number in full-time equivalent),150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Technicians - total (number in full-time equivalent),335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Technicians - women (number in full-time equivalent),36,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),179,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),87,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Total (number in full-time equivalent),"1,422",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Researchers - total (number in full-time equivalent),820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Researchers - women (number in full-time equivalent),218,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Technicians - total (number in full-time equivalent),332,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Technicians - women (number in full-time equivalent),34,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),271,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),128,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2016,R & D personnel: Total (number in full-time equivalent),"1,430",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
470,Malta,2016,R & D personnel: Researchers - total (number in full-time equivalent),829,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Total (number in full-time equivalent),"2,286",Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Researchers - total (number in full-time equivalent),"2,263",Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Researchers - women (number in full-time equivalent),523,Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Technicians - total (number in full-time equivalent),14,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Technicians - women (number in full-time equivalent),1,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),9,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
478,Mauritania,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),3,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Total (number in full-time equivalent),627,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Researchers - total (number in full-time equivalent),228,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Researchers - women (number in full-time equivalent),94,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Technicians - total (number in full-time equivalent),68,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Technicians - women (number in full-time equivalent),34,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),331,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
480,Mauritius,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),57,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2005,R & D personnel: Total (number in full-time equivalent),"83,685",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2005,R & D personnel: Researchers - total (number in full-time equivalent),"43,922",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2005,R & D personnel: Technicians - total (number in full-time equivalent),"25,796",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"13,967",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2010,R & D personnel: Total (number in full-time equivalent),"70,997",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2010,R & D personnel: Researchers - total (number in full-time equivalent),"38,497",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2010,R & D personnel: Technicians - total (number in full-time equivalent),"20,760",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,740",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2013,R & D personnel: Total (number in full-time equivalent),"59,073",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2013,R & D personnel: Researchers - total (number in full-time equivalent),"29,921",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2013,R & D personnel: Technicians - total (number in full-time equivalent),"16,345",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
484,Mexico,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"12,807",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
492,Monaco,2005,R & D personnel: Total (number in full-time equivalent),18,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
492,Monaco,2005,R & D personnel: Researchers - total (number in full-time equivalent),10,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
492,Monaco,2005,R & D personnel: Researchers - women (number in full-time equivalent),5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
492,Monaco,2005,R & D personnel: Technicians - total (number in full-time equivalent),5,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
492,Monaco,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2000,R & D personnel: Total (number in full-time equivalent),"2,113",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2000,R & D personnel: Researchers - total (number in full-time equivalent),"1,631",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2000,R & D personnel: Technicians - total (number in full-time equivalent),294,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2000,R & D personnel: Technicians - women (number in full-time equivalent),150,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2000,R & D personnel: Other supporting staff - total (number in full-time equivalent),188,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2005,R & D personnel: Total (number in full-time equivalent),"2,283",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,731",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2005,R & D personnel: Researchers - women (number in full-time equivalent),819,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2005,R & D personnel: Technicians - total (number in full-time equivalent),81,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),471,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Total (number in full-time equivalent),"2,517",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,739",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Researchers - women (number in full-time equivalent),865,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Technicians - total (number in full-time equivalent),129,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Technicians - women (number in full-time equivalent),48,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),649,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),399,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Total (number in full-time equivalent),"2,211",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Researchers - total (number in full-time equivalent),"1,644",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Researchers - women (number in full-time equivalent),807,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Technicians - total (number in full-time equivalent),83,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Technicians - women (number in full-time equivalent),27,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),484,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
496,Mongolia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),298,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Total (number in full-time equivalent),673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Researchers - total (number in full-time equivalent),523,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Researchers - women (number in full-time equivalent),239,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Technicians - total (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Technicians - women (number in full-time equivalent),39,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),68,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
499,Montenegro,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2010,R & D personnel: Total (number in full-time equivalent),"28,041",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2010,R & D personnel: Researchers - total (number in full-time equivalent),"23,280",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2010,R & D personnel: Researchers - women (number in full-time equivalent),"7,744",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,697",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,747",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Total (number in full-time equivalent),"40,543",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Researchers - total (number in full-time equivalent),"37,709",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Researchers - women (number in full-time equivalent),"12,851",Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Technicians - total (number in full-time equivalent),"1,414",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Technicians - women (number in full-time equivalent),217,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,420",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
504,Morocco,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),341,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2010,R & D personnel: Total (number in full-time equivalent),"2,164",Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2010,R & D personnel: Researchers - total (number in full-time equivalent),912,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2010,R & D personnel: Researchers - women (number in full-time equivalent),294,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,093",Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),159,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Total (number in full-time equivalent),"2,320",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,162",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Researchers - women (number in full-time equivalent),336,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Technicians - total (number in full-time equivalent),723,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
