T04,International migrants and refugees,,,,,
430,Liberia,2017,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
430,Liberia,2017,Total refugees and people in refugee-like situations (number),"13,380",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
430,Liberia,2017,"Asylum seekers, including pending cases (number)",22,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
430,Liberia,2017,Other of concern to UNHCR (number),374,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
430,Liberia,2017,Total population of concern to UNHCR (number),"13,776",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2005,International migrant stock: Both sexes (number),"625,212",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2005,International migrant stock: Both sexes (% total population),10.8,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2005,International migrant stock: Male (% total Population),14.9,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2005,International migrant stock: Female (% total Population),6.4,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2005,Total refugees and people in refugee-like situations (number),"12,166",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2005,"Asylum seekers, including pending cases (number)",200,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2005,Other of concern to UNHCR (number),35,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2005,Total population of concern to UNHCR (number),"12,401",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2010,International migrant stock: Both sexes (number),"683,998",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2010,International migrant stock: Both sexes (% total population),11.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2010,International migrant stock: Male (% total Population),15.5,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2010,International migrant stock: Female (% total Population),6.4,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2010,Total refugees and people in refugee-like situations (number),"7,923",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2010,"Asylum seekers, including pending cases (number)","3,194",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2010,Other of concern to UNHCR (number),37,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2010,Total population of concern to UNHCR (number),"11,154",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2015,International migrant stock: Both sexes (number),"771,146",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2015,International migrant stock: Both sexes (% total population),12.4,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2015,International migrant stock: Male (% total Population),17.4,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2015,International migrant stock: Female (% total Population),7.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2015,Total refugees and people in refugee-like situations (number),"27,948",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2015,"Asylum seekers, including pending cases (number)","8,904",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2015,Other of concern to UNHCR (number),"434,869",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2015,Total population of concern to UNHCR (number),"471,721",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2017,International migrant stock: Both sexes (number),"788,419",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2017,International migrant stock: Both sexes (% total population),12.4,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2017,International migrant stock: Male (% total Population),17.5,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2017,International migrant stock: Female (% total Population),7.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
434,Libya,2017,Total refugees and people in refugee-like situations (number),"9,450",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2017,"Asylum seekers, including pending cases (number)","32,430",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2017,Other of concern to UNHCR (number),"300,019",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
434,Libya,2017,Total population of concern to UNHCR (number),"341,899",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2005,International migrant stock: Both sexes (number),"18,898",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2005,International migrant stock: Both sexes (% total population),54.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2005,Total refugees and people in refugee-like situations (number),150,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2005,"Asylum seekers, including pending cases (number)",60,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2005,Total population of concern to UNHCR (number),210,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2010,International migrant stock: Both sexes (number),"22,342",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2010,International migrant stock: Both sexes (% total population),62.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2010,Total refugees and people in refugee-like situations (number),92,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2010,"Asylum seekers, including pending cases (number)",44,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2010,Other of concern to UNHCR (number),6,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2010,Total population of concern to UNHCR (number),142,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2015,International migrant stock: Both sexes (number),"23,799",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2015,International migrant stock: Both sexes (% total population),63.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2015,Total refugees and people in refugee-like situations (number),107,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2015,"Asylum seekers, including pending cases (number)",75,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2015,Other of concern to UNHCR (number),2,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2015,Total population of concern to UNHCR (number),184,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2017,International migrant stock: Both sexes (number),"24,683",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2017,International migrant stock: Both sexes (% total population),65.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
438,Liechtenstein,2017,Total refugees and people in refugee-like situations (number),177,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2017,"Asylum seekers, including pending cases (number)",113,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
438,Liechtenstein,2017,Total population of concern to UNHCR (number),290,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2005,International migrant stock: Both sexes (number),"201,209",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2005,International migrant stock: Both sexes (% total population),6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2005,International migrant stock: Male (% total Population),6.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2005,International migrant stock: Female (% total Population),6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2005,Total refugees and people in refugee-like situations (number),531,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2005,"Asylum seekers, including pending cases (number)",55,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2005,Other of concern to UNHCR (number),"8,709",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2005,Total population of concern to UNHCR (number),"9,295",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2010,International migrant stock: Both sexes (number),"160,772",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2010,International migrant stock: Both sexes (% total population),5.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2010,International migrant stock: Male (% total Population),4.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2010,International migrant stock: Female (% total Population),5.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2010,Total refugees and people in refugee-like situations (number),803,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2010,"Asylum seekers, including pending cases (number)",71,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2010,Other of concern to UNHCR (number),"3,679",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2010,Total population of concern to UNHCR (number),"4,553",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2015,International migrant stock: Both sexes (number),"136,021",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2015,International migrant stock: Both sexes (% total population),4.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2015,International migrant stock: Male (% total Population),4.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2015,International migrant stock: Female (% total Population),5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2015,Total refugees and people in refugee-like situations (number),"1,055",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2015,"Asylum seekers, including pending cases (number)",54,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2015,Other of concern to UNHCR (number),"3,583",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2015,Total population of concern to UNHCR (number),"4,692",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2017,International migrant stock: Both sexes (number),"124,706",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2017,International migrant stock: Both sexes (% total population),4.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2017,International migrant stock: Male (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2017,International migrant stock: Female (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
440,Lithuania,2017,Total refugees and people in refugee-like situations (number),"1,283",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2017,"Asylum seekers, including pending cases (number)",144,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2017,Other of concern to UNHCR (number),"3,251",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
440,Lithuania,2017,Total population of concern to UNHCR (number),"4,678",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2005,International migrant stock: Both sexes (number),"150,618",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2005,International migrant stock: Both sexes (% total population),32.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2005,International migrant stock: Male (% total Population),33.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2005,International migrant stock: Female (% total Population),32.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2005,Total refugees and people in refugee-like situations (number),"1,822",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2005,Other of concern to UNHCR (number),74,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2005,Total population of concern to UNHCR (number),"1,896",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2010,International migrant stock: Both sexes (number),"248,888",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2010,International migrant stock: Both sexes (% total population),49,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2010,International migrant stock: Male (% total Population),50,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2010,International migrant stock: Female (% total Population),48,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2010,Total refugees and people in refugee-like situations (number),"3,254",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2010,"Asylum seekers, including pending cases (number)",697,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2010,Other of concern to UNHCR (number),173,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2010,Total population of concern to UNHCR (number),"4,124",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2015,International migrant stock: Both sexes (number),"260,573",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2015,International migrant stock: Both sexes (% total population),46,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2015,International migrant stock: Male (% total Population),46.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2015,International migrant stock: Female (% total Population),45.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2015,Total refugees and people in refugee-like situations (number),"1,192",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2015,"Asylum seekers, including pending cases (number)",831,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2015,Other of concern to UNHCR (number),81,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2015,Total population of concern to UNHCR (number),"2,104",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2016,Total refugees and people in refugee-like situations (number),"2,046",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2016,"Asylum seekers, including pending cases (number)","2,213",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2016,Other of concern to UNHCR (number),83,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2016,Total population of concern to UNHCR (number),"4,342",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
442,Luxembourg,2017,International migrant stock: Both sexes (number),"264,073",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2017,International migrant stock: Both sexes (% total population),45.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2017,International migrant stock: Male (% total Population),45.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
442,Luxembourg,2017,International migrant stock: Female (% total Population),44.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2005,International migrant stock: Both sexes (number),"26,058",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2005,International migrant stock: Both sexes (% total population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2005,International migrant stock: Male (% total Population),0.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2005,International migrant stock: Female (% total Population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2010,International migrant stock: Both sexes (number),"28,905",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2010,International migrant stock: Both sexes (% total population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2010,International migrant stock: Male (% total Population),0.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2010,International migrant stock: Female (% total Population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2010,Other of concern to UNHCR (number),1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2010,Total population of concern to UNHCR (number),1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2015,International migrant stock: Both sexes (number),"32,075",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2015,International migrant stock: Both sexes (% total population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2015,International migrant stock: Male (% total Population),0.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2015,International migrant stock: Female (% total Population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2015,Total refugees and people in refugee-like situations (number),10,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2015,"Asylum seekers, including pending cases (number)",9,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2015,Total population of concern to UNHCR (number),19,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2017,International migrant stock: Both sexes (number),"33,844",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2017,International migrant stock: Both sexes (% total population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2017,International migrant stock: Male (% total Population),0.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2017,International migrant stock: Female (% total Population),0.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
450,Madagascar,2017,Total refugees and people in refugee-like situations (number),43,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2017,"Asylum seekers, including pending cases (number)",46,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
450,Madagascar,2017,Total population of concern to UNHCR (number),89,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2005,International migrant stock: Both sexes (number),"221,661",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2005,International migrant stock: Both sexes (% total population),1.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2005,International migrant stock: Male (% total Population),1.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2005,International migrant stock: Female (% total Population),1.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2005,Total refugees and people in refugee-like situations (number),"4,240",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2005,"Asylum seekers, including pending cases (number)","5,331",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2005,Other of concern to UNHCR (number),49,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2005,Total population of concern to UNHCR (number),"9,620",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2010,International migrant stock: Both sexes (number),"217,722",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2010,International migrant stock: Both sexes (% total population),1.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2010,International migrant stock: Male (% total Population),1.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2010,International migrant stock: Female (% total Population),1.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2010,Total refugees and people in refugee-like situations (number),"5,740",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2010,"Asylum seekers, including pending cases (number)","9,362",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2010,Other of concern to UNHCR (number),131,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2010,Total population of concern to UNHCR (number),"15,233",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2015,International migrant stock: Both sexes (number),"232,803",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2015,International migrant stock: Both sexes (% total population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2015,International migrant stock: Male (% total Population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2015,International migrant stock: Female (% total Population),1.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2015,Total refugees and people in refugee-like situations (number),"8,963",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2015,"Asylum seekers, including pending cases (number)","13,669",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2015,Total population of concern to UNHCR (number),"22,632",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2017,International migrant stock: Both sexes (number),"237,104",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
