[T13.],Gross domestic product and gross domestic product per capita,,,,,
388,Jamaica,2016,GDP in current prices (millions of US dollars),"14,077",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2017,GDP in current prices (millions of US dollars),"14,827",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1985,GDP per capita (US dollars),"1,114",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1995,GDP per capita (US dollars),"2,592",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2005,GDP per capita (US dollars),"4,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2010,GDP per capita (US dollars),"4,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2015,GDP per capita (US dollars),"4,940",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2016,GDP per capita (US dollars),"4,886",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2017,GDP per capita (US dollars),"5,130",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1985,GDP in constant 2010 prices (millions of US dollars),"8,555",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1995,GDP in constant 2010 prices (millions of US dollars),"12,565",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2005,GDP in constant 2010 prices (millions of US dollars),"13,545",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2010,GDP in constant 2010 prices (millions of US dollars),"13,219",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2015,GDP in constant 2010 prices (millions of US dollars),"13,643",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2016,GDP in constant 2010 prices (millions of US dollars),"13,837",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2017,GDP in constant 2010 prices (millions of US dollars),"13,972",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1985,GDP real rates of growth (percent),-4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,1995,GDP real rates of growth (percent),1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2005,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2010,GDP real rates of growth (percent),-1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2015,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2016,GDP real rates of growth (percent),1.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
388,Jamaica,2017,GDP real rates of growth (percent),1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1985,GDP in current prices (millions of US dollars),"1,398,893",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1995,GDP in current prices (millions of US dollars),"5,449,118",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2005,GDP in current prices (millions of US dollars),"4,755,410",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2010,GDP in current prices (millions of US dollars),"5,700,098",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2015,GDP in current prices (millions of US dollars),"4,394,978",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2016,GDP in current prices (millions of US dollars),"4,949,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2017,GDP in current prices (millions of US dollars),"4,872,415",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1985,GDP per capita (US dollars),"11,476",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1995,GDP per capita (US dollars),"43,118",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2005,GDP per capita (US dollars),"37,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2010,GDP per capita (US dollars),"44,341",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2015,GDP per capita (US dollars),"34,342",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2016,GDP per capita (US dollars),"38,742",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2017,GDP per capita (US dollars),"38,220",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1985,GDP in constant 2010 prices (millions of US dollars),"3,700,733",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1995,GDP in constant 2010 prices (millions of US dollars),"5,063,812",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2005,GDP in constant 2010 prices (millions of US dollars),"5,672,307",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2010,GDP in constant 2010 prices (millions of US dollars),"5,700,098",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2015,GDP in constant 2010 prices (millions of US dollars),"5,996,414",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2016,GDP in constant 2010 prices (millions of US dollars),"6,052,672",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2017,GDP in constant 2010 prices (millions of US dollars),"6,157,659",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1985,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,1995,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2005,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2010,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2015,GDP real rates of growth (percent),1.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2016,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
392,Japan,2017,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1985,GDP in current prices (millions of US dollars),"5,173",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1995,GDP in current prices (millions of US dollars),"6,802",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2005,GDP in current prices (millions of US dollars),"12,720",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2010,GDP in current prices (millions of US dollars),"26,520",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2015,GDP in current prices (millions of US dollars),"37,923",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2016,GDP in current prices (millions of US dollars),"39,197",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2017,GDP in current prices (millions of US dollars),"40,708",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1985,GDP per capita (US dollars),"1,786",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1995,GDP per capita (US dollars),"1,488",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2005,GDP per capita (US dollars),"2,226",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2010,GDP per capita (US dollars),"3,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2015,GDP per capita (US dollars),"4,140",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2016,GDP per capita (US dollars),"4,145",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2017,GDP per capita (US dollars),"4,196",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1985,GDP in constant 2010 prices (millions of US dollars),"9,373",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1995,GDP in constant 2010 prices (millions of US dollars),"12,369",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2005,GDP in constant 2010 prices (millions of US dollars),"19,725",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2010,GDP in constant 2010 prices (millions of US dollars),"26,520",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2015,GDP in constant 2010 prices (millions of US dollars),"30,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2016,GDP in constant 2010 prices (millions of US dollars),"30,844",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2017,GDP in constant 2010 prices (millions of US dollars),"31,496",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1985,GDP real rates of growth (percent),-2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,1995,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2005,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2010,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2015,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2016,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
400,Jordan,2017,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,1995,GDP in current prices (millions of US dollars),"20,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2005,GDP in current prices (millions of US dollars),"57,124",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2010,GDP in current prices (millions of US dollars),"148,047",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2015,GDP in current prices (millions of US dollars),"184,388",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2016,GDP in current prices (millions of US dollars),"137,278",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2017,GDP in current prices (millions of US dollars),"159,407",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,1995,GDP per capita (US dollars),"1,282",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2005,GDP per capita (US dollars),"3,676",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2010,GDP per capita (US dollars),"9,028",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2015,GDP per capita (US dollars),"10,388",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2016,GDP per capita (US dollars),"7,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2017,GDP per capita (US dollars),"8,756",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,1995,GDP in constant 2010 prices (millions of US dollars),"59,128",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2005,GDP in constant 2010 prices (millions of US dollars),"109,540",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2010,GDP in constant 2010 prices (millions of US dollars),"148,047",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2015,GDP in constant 2010 prices (millions of US dollars),"188,652",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2016,GDP in constant 2010 prices (millions of US dollars),"190,714",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2017,GDP in constant 2010 prices (millions of US dollars),"198,400",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,1995,GDP real rates of growth (percent),-8.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2005,GDP real rates of growth (percent),9.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2010,GDP real rates of growth (percent),7.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2015,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2016,GDP real rates of growth (percent),1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
398,Kazakhstan,2017,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1985,GDP in current prices (millions of US dollars),"9,110",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1995,GDP in current prices (millions of US dollars),"13,428",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2005,GDP in current prices (millions of US dollars),"21,506",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2010,GDP in current prices (millions of US dollars),"40,000",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2015,GDP in current prices (millions of US dollars),"64,008",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2016,GDP in current prices (millions of US dollars),"70,875",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2017,GDP in current prices (millions of US dollars),"74,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1985,GDP per capita (US dollars),464,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1995,GDP per capita (US dollars),491,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2005,GDP per capita (US dollars),597,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2010,GDP per capita (US dollars),967,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2015,GDP per capita (US dollars),"1,355",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2016,GDP per capita (US dollars),"1,463",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2017,GDP per capita (US dollars),"1,508",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1985,GDP in constant 2010 prices (millions of US dollars),"16,538",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1995,GDP in constant 2010 prices (millions of US dollars),"23,533",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2005,GDP in constant 2010 prices (millions of US dollars),"31,367",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2010,GDP in constant 2010 prices (millions of US dollars),"40,000",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2015,GDP in constant 2010 prices (millions of US dollars),"52,339",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2016,GDP in constant 2010 prices (millions of US dollars),"55,410",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2017,GDP in constant 2010 prices (millions of US dollars),"58,117",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1985,GDP real rates of growth (percent),4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2005,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2010,GDP real rates of growth (percent),8.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2015,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2016,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
404,Kenya,2017,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1985,GDP in current prices (millions of US dollars),30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1995,GDP in current prices (millions of US dollars),56,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2005,GDP in current prices (millions of US dollars),112,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2010,GDP in current prices (millions of US dollars),156,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2015,GDP in current prices (millions of US dollars),169,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2016,GDP in current prices (millions of US dollars),182,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2017,GDP in current prices (millions of US dollars),197,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1985,GDP per capita (US dollars),468,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1995,GDP per capita (US dollars),720,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2005,GDP per capita (US dollars),"1,215",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2010,GDP per capita (US dollars),"1,521",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2015,GDP per capita (US dollars),"1,505",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2016,GDP per capita (US dollars),"1,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2017,GDP per capita (US dollars),"1,694",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1985,GDP in constant 2010 prices (millions of US dollars),106,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1995,GDP in constant 2010 prices (millions of US dollars),124,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2005,GDP in constant 2010 prices (millions of US dollars),157,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2010,GDP in constant 2010 prices (millions of US dollars),156,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2015,GDP in constant 2010 prices (millions of US dollars),190,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2016,GDP in constant 2010 prices (millions of US dollars),192,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2017,GDP in constant 2010 prices (millions of US dollars),198,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1985,GDP real rates of growth (percent),-4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,1995,GDP real rates of growth (percent),-0.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2005,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2010,GDP real rates of growth (percent),-0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2015,GDP real rates of growth (percent),10.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2016,GDP real rates of growth (percent),1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
296,Kiribati,2017,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,1995,GDP in current prices (millions of US dollars),"5,304",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2005,GDP in current prices (millions of US dollars),"3,680",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2010,GDP in current prices (millions of US dollars),"5,830",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2015,GDP in current prices (millions of US dollars),"6,440",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
