T03,Population and rates of growth in urban areas and capital cities,,,,,,,
Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source
458,Malaysia,2010,Capital city population (as a percentage of total urban population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,29.1,Refers to the Greater Kuala Lumpur.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Urban population (percent),,,74.2,Including Sabah and Sarawak.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"6,851",Refers to the Greater Kuala Lumpur.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Capital city population (as a percentage of total population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,22.3,Refers to the Greater Kuala Lumpur.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2015,Capital city population (as a percentage of total urban population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,30.0,Refers to the Greater Kuala Lumpur.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2018,Urban population (percent),,,76.0,Including Sabah and Sarawak.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
458,Malaysia,2018,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"7,564",Refers to the Greater Kuala Lumpur.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2005,Urban population (percent),,,33.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2005,Urban population (percent growth rate per annum),,,6.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2010,Urban population (percent),,,36.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2010,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2010,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2015,Urban population (percent),,,38.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2015,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2018,Urban population (percent),,,39.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
462,Maldives,2018,Capital city population (thousands),Male,,177,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Urban population (percent),,,32.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Urban population (percent growth rate per annum),,,5.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Rural population (percent growth rate per annum),,,2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Capital city population (thousands),Bamako,,"1,486",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Capital city population (as a percentage of total population),Bamako,,11.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2005,Capital city population (as a percentage of total urban population),Bamako,,36.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Urban population (percent),,,36.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Urban population (percent growth rate per annum),,,5.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Capital city population (thousands),Bamako,,"1,886",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Capital city population (as a percentage of total population),Bamako,,12.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2010,Capital city population (as a percentage of total urban population),Bamako,,34.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Urban population (percent),,,40.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Urban population (percent growth rate per annum),,,5.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Capital city population (thousands),Bamako,,"2,219",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Capital city population (as a percentage of total population),Bamako,,12.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2015,Capital city population (as a percentage of total urban population),Bamako,,31.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2018,Urban population (percent),,,42.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
466,Mali,2018,Capital city population (thousands),Bamako,,"2,447",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2005,Urban population (percent),,,93.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2005,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2005,Rural population (percent growth rate per annum),,,-3.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2010,Urban population (percent),,,94.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2010,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2015,Urban population (percent),,,94.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2015,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2018,Urban population (percent),,,94.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
470,Malta,2018,Capital city population (thousands),Valletta,,213,Refers to the localities of the Northern Harbour and Southern Harbour.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2005,Urban population (percent),,,71.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2005,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2005,Rural population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2010,Urban population (percent),,,73.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2010,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2010,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2015,Urban population (percent),,,75.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2015,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2015,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2018,Urban population (percent),,,77.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
584,Marshall Islands,2018,Capital city population (thousands),Majuro,,31,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2005,Urban population (percent),,,89.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2005,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2010,Urban population (percent),,,89.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2010,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2015,Urban population (percent),,,89.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2015,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2018,Urban population (percent),,,89.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
474,Martinique,2018,Capital city population (thousands),Fort-de-France,,79,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Urban population (percent),,,42.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Capital city population (thousands),Nouakchott,,684,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Capital city population (as a percentage of total population),Nouakchott,,21.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2005,Capital city population (as a percentage of total urban population),Nouakchott,,51.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Urban population (percent),,,46.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Capital city population (thousands),Nouakchott,,851,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Capital city population (as a percentage of total population),Nouakchott,,23.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2010,Capital city population (as a percentage of total urban population),Nouakchott,,50.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Urban population (percent),,,51.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Urban population (percent growth rate per annum),,,4.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Capital city population (thousands),Nouakchott,,"1,058",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Capital city population (as a percentage of total population),Nouakchott,,25.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2015,Capital city population (as a percentage of total urban population),Nouakchott,,49.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2018,Urban population (percent),,,53.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
478,Mauritania,2018,Capital city population (thousands),Nouakchott,,"1,205",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2005,Urban population (percent),,,42.1,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2005,Urban population (percent growth rate per annum),,,0.3,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2005,Rural population (percent growth rate per annum),,,0.8,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2010,Urban population (percent),,,41.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2010,Urban population (percent growth rate per annum),,,0.2,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2010,Rural population (percent growth rate per annum),,,0.6,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2015,Urban population (percent),,,41.0,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2015,Urban population (percent growth rate per annum),,,-0.1,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2015,Rural population (percent growth rate per annum),,,0.4,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2018,Urban population (percent),,,40.8,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
480,Mauritius,2018,Capital city population (thousands),Port Louis,,149,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2005,Urban population (percent),,,50.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2005,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2010,Urban population (percent),,,49.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2010,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2010,Rural population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2015,Urban population (percent),,,47.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2015,Urban population (percent growth rate per annum),,,2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2015,Rural population (percent growth rate per annum),,,3.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2018,Urban population (percent),,,46.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
175,Mayotte,2018,Capital city population (thousands),Mamoudzou,,6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Urban population (percent),,,76.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Capital city population (thousands),Mexico City,,"19,276",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Capital city population (as a percentage of total population),Mexico City,,17.8,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2005,Capital city population (as a percentage of total urban population),Mexico City,,23.3,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Urban population (percent),,,77.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Urban population (percent growth rate per annum),,,2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Capital city population (thousands),Mexico City,,"20,137",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Capital city population (as a percentage of total population),Mexico City,,17.2,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2010,Capital city population (as a percentage of total urban population),Mexico City,,22.1,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Urban population (percent),,,79.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Capital city population (thousands),Mexico City,,"21,340",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Capital city population (as a percentage of total population),Mexico City,,17.0,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2015,Capital city population (as a percentage of total urban population),Mexico City,,21.4,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2018,Urban population (percent),,,80.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
484,Mexico,2018,Capital city population (thousands),Mexico City,,"21,581",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2005,Urban population (percent),,,22.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2005,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2010,Urban population (percent),,,22.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2010,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2015,Urban population (percent),,,22.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2015,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2015,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2018,Urban population (percent),,,22.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
583,Micronesia (Fed. States of),2018,Capital city population (thousands),Palikir,,7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2005,Urban population (percent),,,100.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2005,Urban population (percent growth rate per annum),,,1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2005,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2010,Urban population (percent),,,100.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2010,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2015,Urban population (percent),,,100.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2015,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2018,Urban population (percent),,,100.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
492,Monaco,2018,Capital city population (thousands),Monaco,,39,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
